;speed;Arr;Dep;Approx_enter;Label;Shunting;Turnaround_time_minutes
"""CB-RCB-3"", ""SBL+Sem(ST)"", 1, ""3"", ""(3)""";R;;;;;;
"""RCB"", ""ST"", 1, ""(1)""";R;16:33;16:33;;Ruda Chebzie;;
"""RCB-ZZ-1"", ""SBL"", 1, ""1"", ""(4)""";R;;;;;;
"""RCB-ZZ-2"", ""SBL+PO(Ruda Śląska)"", 1, ""2"", ""(4)""";R;16:35;16:35;;Ruda Śląska;;
"""RCB-ZZ-3"", ""SBL"", 1, ""3"", ""(4)""";R;;;;;;
"""RCB-ZZ-4"", ""SBL+Sem(ST)"", 1, ""4"", ""(4)""";R;;;;;;
"""ZZ"", ""ST"", 1, ""(1)""";R;16:40;16:40;;Zabrze;;
"""ZZ-GLC-1"", ""SBL"", 1, ""1"", ""(5)""";R;;;;;;
"""ZZ-GLC-2"", ""SBL"", 1, ""2"", ""(5)""";R;;;;;;
"""ZZ-GLC-3"", ""SBL"", 1, ""3"", ""(5)""";R;;;;;;
"""ZZ-GLC-4"", ""SBL"", 1, ""4"", ""(5)""";R;;;;;;
"""ZZ-GLC-5"", ""SBL+Sem(ST)"", 1, ""5"", ""(5)""";R;;;;;;
"""GLC"", ""ST"", 6, ""(2)""";R;16:47;;;Gliwice;;
to Gliwice;;;;;;;
####;;;;;;;
KS - Os;;;;;;;
32;;;;;;;
S1;;;;;;;
from Katowice;;;;;;;
"""KO"", ""ST"", 7, ""(1)""";R;;16:30;;Katowice;;
"""KO-KTC-1"", ""SBL"", 1, ""1"", ""(2)""";R;;;;;;
"""KO-KTC-2"", ""SBL+POGP"", 1, ""2"", ""(2)""";R;16:33;16:33;;Katowice Załęże;;
"""KTC-CB-1"", ""SBL"", 1, ""1"", ""(2)""";R;;;;;;
"""KTC-CB-2"", ""SBL+Sem(ST)"", 1, ""2"", ""(2)""";R;;;;;;
"""CB"", ""ST"", 1, ""(1)""";R;16:36;16:36;;Chorzów Batory;;
"""CB-RCB-1"", ""SBL"", 1, ""1"", ""(3)""";R;;;;;;
"""CB-RCB-2"", ""SBL+PO(Świętochłowice)"", 1, ""2"", ""(3)""";R;16:39;16:39;;Świętochłowice;;
"""CB-RCB-3"", ""SBL+Sem(ST)"", 1, ""3"", ""(3)""";R;;;;;;
"""RCB"", ""ST"", 1, ""(1)""";R;16:43;16:43;;Ruda Chebzie;;
"""RCB-ZZ-1"", ""SBL"", 1, ""1"", ""(4)""";R;;;;;;
"""RCB-ZZ-2"", ""SBL+PO(Ruda Śląska)"", 1, ""2"", ""(4)""";R;16:45;16:45;;Ruda Śląska;;
"""RCB-ZZ-3"", ""SBL"", 1, ""3"", ""(4)""";R;;;;;;
"""RCB-ZZ-4"", ""SBL+Sem(ST)"", 1, ""4"", ""(4)""";R;;;;;;
"""ZZ"", ""ST"", 1, ""(1)""";R;16:50;16:50;;Zabrze;;
"""ZZ-GLC-1"", ""SBL"", 1, ""1"", ""(5)""";R;;;;;;
"""ZZ-GLC-2"", ""SBL"", 1, ""2"", ""(5)""";R;;;;;;
"""ZZ-GLC-3"", ""SBL"", 1, ""3"", ""(5)""";R;;;;;;
"""ZZ-GLC-4"", ""SBL"", 1, ""4"", ""(5)""";R;;;;;;
"""ZZ-GLC-5"", ""SBL+Sem(ST)"", 1, ""5"", ""(5)""";R;;;;;;
"""GLC"", ""ST"", 6, ""(2)""";R;16:57;;;Gliwice;;
to Gliwice;;;;;;;
####;;;;;;;
IC - IC;;;;;;;
4612;;;;;;;
Intercity;;;;;;;
from Katowice;;;;;;;
"""KO"", ""ST"", 1, ""(2)""";IC;;16:37;;Katowice;;
"""KO-KTC-1"", ""SBL"", 1, ""1"", ""(2)""";IC;;;;;;
"""KO-KTC-2"", ""SBL+POGP"", 1, ""2"", ""(2)""";IC;;;;;;
"""KTC-CB-1"", ""SBL"", 1, ""1"", ""(2)""";IC;;;;;;
"""KTC-CB-2"", ""SBL+Sem(ST)"", 1, ""2"", ""(2)""";IC;;;;;;
"""CB"", ""ST"", 1, ""(1)""";R;16:43;16:43;;Chorz�w Batory;;
"""CB-RCB-1"", ""SBL"", 1, ""1"", ""(3)""";IC;;;;;;
"""CB-RCB-2"", ""SBL+PO(Świętochłowice)"", 1, ""2"", ""(3)""";IC;;;;;;
"""CB-RCB-3"", ""SBL+Sem(ST)"", 1, ""3"", ""(3)""";IC;;;;;;
"""RCB"", ""ST"", 1, ""(1)""";IC;;;;;;
"""RCB-ZZ-1"", ""SBL"", 1, ""1"", ""(4)""";IC;;;;;;
"""RCB-ZZ-2"", ""SBL+PO(Ruda Śląska)"", 1, ""2"", ""(4)""";IC;;;;;;
"""RCB-ZZ-3"", ""SBL"", 1, ""3"", ""(4)""";IC;;;;;;
"""RCB-ZZ-4"", ""SBL+Sem(ST)"", 1, ""4"", ""(4)""";IC;;;;;;
"""ZZ"", ""ST"", 1, ""(1)""";IC;16:53;16:53;;Zabrze;;
"""ZZ-GLC-1"", ""SBL"", 1, ""1"", ""(5)""";IC;;;;;;
"""ZZ-GLC-2"", ""SBL"", 1, ""2"", ""(5)""";IC;;;;;;
"""ZZ-GLC-3"", ""SBL"", 1, ""3"", ""(5)""";IC;;;;;;
"""ZZ-GLC-4"", ""SBL"", 1, ""4"", ""(5)""";IC;;;;;;
"""ZZ-GLC-5"", ""SBL+Sem(ST)"", 1, ""5"", ""(5)""";IC;;;;;;
"""GLC"", ""ST"", 9, ""(4)""";IC;17:00;17:02;;Gliwice;;
"""GLC-Szo"", ""Sem(odstep)"", 1, ""1"", ""(1)""";IC;;;;;;
to Wrocław Główny;;;;;;;
####;;;;;;;
KS - Os;;;;;;;
34;;;;;;;
S1;;;;;;;
from Katowice;;;;;;;
"""KO"", ""ST"", 7, ""(1)""";R;;16:40;;Katowice;;
"""KO-KTC-1"", ""SBL"", 1, ""1"", ""(2)""";R;;;;;;
"""KO-KTC-2"", ""SBL+POGP"", 1, ""2"", ""(2)""";R;16:43;16:43;;Katowice Załęże;;
"""KTC-CB-1"", ""SBL"", 1, ""1"", ""(2)""";R;;;;;;
"""KTC-CB-2"", ""SBL+Sem(ST)"", 1, ""2"", ""(2)""";R;;;;;;
"""CB"", ""ST"", 1, ""(1)""";R;16:46;16:46;;Chorzów Batory;;
"""CB-RCB-1"", ""SBL"", 1, ""1"", ""(3)""";R;;;;;;
"""CB-RCB-2"", ""SBL+PO(Świętochłowice)"", 1, ""2"", ""(3)""";R;16:49;16:49;;Świętochłowice;;
"""CB-RCB-3"", ""SBL+Sem(ST)"", 1, ""3"", ""(3)""";R;;;;;;
"""RCB"", ""ST"", 1, ""(1)""";R;16:53;16:53;;Ruda Chebzie;;
"""RCB-ZZ-1"", ""SBL"", 1, ""1"", ""(4)""";R;;;;;;
"""RCB-ZZ-2"", ""SBL+PO(Ruda Śląska)"", 1, ""2"", ""(4)""";R;16:55;16:55;;Ruda Śląska;;
"""RCB-ZZ-3"", ""SBL"", 1, ""3"", ""(4)""";R;;;;;;
"""RCB-ZZ-4"", ""SBL+Sem(ST)"", 1, ""4"", ""(4)""";R;;;;;;
"""ZZ"", ""ST"", 1, ""(1)""";R;17:00;17:00;;Zabrze;;
"""ZZ-GLC-1"", ""SBL"", 1, ""1"", ""(5)""";R;;;;;;
"""ZZ-GLC-2"", ""SBL"", 1, ""2"", ""(5)""";R;;;;;;
"""ZZ-GLC-3"", ""SBL"", 1, ""3"", ""(5)""";R;;;;;;
"""ZZ-GLC-4"", ""SBL"", 1, ""4"", ""(5)""";R;;;;;;
"""ZZ-GLC-5"", ""SBL+Sem(ST)"", 1, ""5"", ""(5)""";R;;;;;;
"""GLC"", ""ST"", 6, ""(2)""";R;17:07;;;Gliwice;;
to Gliwice;;;;;;;
####;;;;;;;
KS - Os;;;;;;;
114;;;;;;;
S8;;;;;;;
from Katowice;;;;;;;
"""KO"", ""ST"", 9, ""(1)""";R;;16:45;;Katowice;;
"""KO-KTC-1"", ""SBL"", 1, ""1"", ""(2)""";R;;;;;;
"""KO-KTC-2"", ""SBL+POGP"", 1, ""2"", ""(2)""";R;16:48;16:48;;Katowice Załęże;;
"""KTC-CB-1"", ""SBL"", 1, ""1"", ""(2)""";R;;;;;;
"""KTC-CB-2"", ""SBL+Sem(ST)"", 1, ""2"", ""(2)""";R;;;;;;
"""CB"", ""ST"", 3, ""(2)""";R;16:52;16:53;;Chorzów Batory;;
"""CB-CM"", ""SBL+Sem(ST)"", 1, ""1"", ""(1)""";R;;;;;;
to Bytom;;;;;;;
####;;;;;;;
KS - Os;;;;;;;
36;;;;;;;
S1;;;;;;;
from Katowice;;;;;;;
"""KO"", ""ST"", 7, ""(1)""";R;;16:50;;Katowice;;
"""KO-KTC-1"", ""SBL"", 1, ""1"", ""(2)""";R;;;;;;
"""KO-KTC-2"", ""SBL+POGP"", 1, ""2"", ""(2)""";R;16:53;16:53;;Katowice Załęże;;
"""KTC-CB-1"", ""SBL"", 1, ""1"", ""(2)""";R;;;;;;
"""KTC-CB-2"", ""SBL+Sem(ST)"", 1, ""2"", ""(2)""";R;;;;;;
"""CB"", ""ST"", 1, ""(1)""";R;16:56;16:56;;Chorzów Batory;;
"""CB-RCB-1"", ""SBL"", 1, ""1"", ""(3)""";R;;;;;;
"""CB-RCB-2"", ""SBL+PO(Świętochłowice)"", 1, ""2"", ""(3)""";R;16:59;16:59;;Świętochłowice;;
"""CB-RCB-3"", ""SBL+Sem(ST)"", 1, ""3"", ""(3)""";R;;;;;;
"""RCB"", ""ST"", 1, ""(1)""";R;17:03;17:03;;Ruda Chebzie;;
"""RCB-ZZ-1"", ""SBL"", 1, ""1"", ""(4)""";R;;;;;;
"""RCB-ZZ-2"", ""SBL+PO(Ruda Śląska)"", 1, ""2"", ""(4)""";R;17:05;17:05;;Ruda Śląska;;
"""RCB-ZZ-3"", ""SBL"", 1, ""3"", ""(4)""";R;;;;;;
"""RCB-ZZ-4"", ""SBL+Sem(ST)"", 1, ""4"", ""(4)""";R;;;;;;
"""ZZ"", ""ST"", 1, ""(1)""";R;17:10;17:10;;Zabrze;;
"""ZZ-GLC-1"", ""SBL"", 1, ""1"", ""(5)""";R;;;;;;
"""ZZ-GLC-2"", ""SBL"", 1, ""2"", ""(5)""";R;;;;;;
"""ZZ-GLC-3"", ""SBL"", 1, ""3"", ""(5)""";R;;;;;;
"""ZZ-GLC-4"", ""SBL"", 1, ""4"", ""(5)""";R;;;;;;
"""ZZ-GLC-5"", ""SBL+Sem(ST)"", 1, ""5"", ""(5)""";R;;;;;;
"""GLC"", ""ST"", 6, ""(2)""";R;17:17;;;Gliwice;;
to Gliwice;;;;;;;
####;;;;;;;
KS - Os;;;;;;;
27;;;;;;;
S1 ;;;;;;;
from Gliwice;;;;;;;
"""GLC"", ""ST"", 5, ""(2)""";R;;15:53;;Gliwice;;
"""GLC-ZZ-1"", ""SBL"", 2, ""1"", ""(5)""";R;;;;;;
"""GLC-ZZ-2"", ""SBL"", 2, ""2"", ""(5)""";R;;;;;;
"""GLC-ZZ-3"", ""SBL"", 2, ""3"", ""(5)""";R;;;;;;
"""GLC-ZZ-4"", ""SBL"", 2, ""4"", ""(5)""";R;;;;;;
"""GLC-ZZ-5"", ""SBL+Sem(ST)"", 2, ""5"", ""(5)""";R;;;;;;
"""ZZ"", ""ST"", 2, ""(1)""";R;16:01;16:01;;Zabrze;;
"""ZZ-RCB-1"", ""SBL"", 2, ""1"", ""(4)""";R;;;;;;
"""ZZ-RCB-2"", ""SBL"", 2, ""2"", ""(4)""";R;;;;;;
"""ZZ-RCB-3"", ""SBL+PO(Ruda Śląska)"", 2, ""3"", ""(4)""";R;16:06;16:06;;Ruda Slaska;;
"""ZZ-RCB-4"", ""SBL+Sem(ST)"", 2, ""4"", ""(4)""";R;;;;;;
"""RCB"", ""ST"", 2, ""(1)""";R;16:08;16:08;;Ruda Chebzie;;
"""RCB-CB-1"", ""SBL"", 2, ""1"", ""(3)""";R;;;;;;
"""RCB-CB-2"", ""SBL+PO(Świętochłowice)"", 2, ""2"", ""(3)""";R;16:11;16:11;;Swietochlowice;;
"""RCB-CB-3"", ""SBL+Sem(ST)"", 2, ""3"", ""(3)""";R;;;;;;
"""CB"", ""ST"", 2, ""(1)""";R;16:15;16:15;;Chorzów Batory;;
"""CB-KTC-1"", ""SBL"", 2, ""1"", ""(2)""";R;;;;;;
"""CB-KTC-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";R;;;;;;
"""KTC-KO-1"", ""SBL+PO(Załęże)"", 2, ""1"", ""(2)""";R;16:18;16:18;;Katowice Załęże;;
"""KTC-KO-2"", ""SBL+Sem(ST)"", 2, ""2"", ""(2)""";R;;;;;;
"""KO"", ""ST"", 8, ""(4)""";R;16:21;;;Katowice;;
to Katowice;;;;;;;
####;;;;;;;
KS - Os;;;;;;;
111;;;;;;;
S8;;;;;;;
from Bytom;;;;;;;
"""CM-CB"", ""SBL+Sem(ST)"", 2, ""1"", ""(1)""";R;;;;;;
"""CB"", ""ST"", 4, ""(2)""";R;16:20;16:21;;Chorzów Batory;;
"""CB-KTC-1"", ""SBL"", 2, ""1"", ""(2)""";R;;;;;;
"""CB-KTC-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";R;;;;;;
"""KTC-KO-1"", ""SBL+PO(Załęże)"", 2, ""1"", ""(2)""";R;16:24;16:24;;Katowice Załęże;;
"""KTC-KO-2"", ""SBL+Sem(ST)"", 2, ""2"", ""(2)""";R;;;;;;
"""KO"", ""ST"", 10, ""(4)""";R;16:28;;;Katowice;;
to Katowice;;;;;;;
####;;;;;;;
KS - Os;;;;;;;
31;;;;;;;
S1 ;;;;;;;
from Gliwice;;;;;;;
"""GLC"", ""ST"", 5, ""(2)""";R;;16:03;;Gliwice;;
"""GLC-ZZ-1"", ""SBL"", 2, ""1"", ""(5)""";R;;;;;;
"""GLC-ZZ-2"", ""SBL"", 2, ""2"", ""(5)""";R;;;;;;
"""GLC-ZZ-3"", ""SBL"", 2, ""3"", ""(5)""";R;;;;;;
"""GLC-ZZ-4"", ""SBL"", 2, ""4"", ""(5)""";R;;;;;;
"""GLC-ZZ-5"", ""SBL+Sem(ST)"", 2, ""5"", ""(5)""";R;;;;;;
"""ZZ"", ""ST"", 2, ""(1)""";R;16:11;16:11;;Zabrze;;
"""ZZ-RCB-1"", ""SBL"", 2, ""1"", ""(4)""";R;;;;;;
"""ZZ-RCB-2"", ""SBL"", 2, ""2"", ""(4)""";R;;;;;;
"""ZZ-RCB-3"", ""SBL+PO(Ruda Śląska)"", 2, ""3"", ""(4)""";R;16:16;16:16;;Ruda Slaska;;
"""ZZ-RCB-4"", ""SBL+Sem(ST)"", 2, ""4"", ""(4)""";R;;;;;;
"""RCB"", ""ST"", 2, ""(1)""";R;16:18;16:18;;Ruda Chebzie;;
"""RCB-CB-1"", ""SBL"", 2, ""1"", ""(3)""";R;;;;;;
"""RCB-CB-2"", ""SBL+PO(Świętochłowice)"", 2, ""2"", ""(3)""";R;16:21;16:21;;Swietochlowice;;
"""RCB-CB-3"", ""SBL+Sem(ST)"", 2, ""3"", ""(3)""";R;;;;;;
"""CB"", ""ST"", 2, ""(1)""";R;16:25;16:25;;Chorzów Batory;;
"""CB-KTC-1"", ""SBL"", 2, ""1"", ""(2)""";R;;;;;;
"""CB-KTC-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";R;;;;;;
"""KTC-KO-1"", ""SBL+PO(Załęże)"", 2, ""1"", ""(2)""";R;16:28;16:28;;Katowice Załęże;;
"""KTC-KO-2"", ""SBL+Sem(ST)"", 2, ""2"", ""(2)""";R;;;;;;
"""KO"", ""ST"", 8, ""(4)""";R;16:31;;;Katowice;;
to Katowice;;;;;;;
####;;;;;;;
IC - IC;;;;;;;
6411;;;;;;;
Intercity;;;;;;;
from Wrocław;;;;;;;
"""Szo-GLC"", ""SBL(odstep)"", 2, ""1"", ""(1)""";IC;;;;;;
"""GLC"", ""ST"", 4, ""(1)""";IC;16:08;16:14;;Gliwice;;
"""GLC-ZZ-1"", ""SBL"", 2, ""1"", ""(5)""";IC;;;;;;
"""GLC-ZZ-2"", ""SBL"", 2, ""2"", ""(5)""";IC;;;;;;
"""GLC-ZZ-3"", ""SBL"", 2, ""3"", ""(5)""";IC;;;;;;
"""GLC-ZZ-4"", ""SBL"", 2, ""4"", ""(5)""";IC;;;;;;
"""GLC-ZZ-5"", ""SBL+Sem(ST)"", 2, ""5"", ""(5)""";IC;;;;;;
"""ZZ"", ""ST"", 2, ""(1)""";IC;16:22;16:22;;Zabrze;;
"""ZZ-RCB-1"", ""SBL"", 2, ""1"", ""(4)""";IC;;;;;;
"""ZZ-RCB-2"", ""SBL"", 2, ""2"", ""(4)""";IC;;;;;;
"""ZZ-RCB-3"", ""SBL+PO(Ruda Śląska)"", 2, ""3"", ""(4)""";IC;;;;;;
"""ZZ-RCB-4"", ""SBL+Sem(ST)"", 2, ""4"", ""(4)""";IC;;;;;;
"""RCB"", ""ST"", 2, ""(1)""";IC;;;;;;
"""RCB-CB-1"", ""SBL"", 2, ""1"", ""(3)""";IC;;;;;;
"""RCB-CB-2"", ""SBL+PO(Świętochłowice)"", 2, ""2"", ""(3)""";IC;;;;;;
"""RCB-CB-3"", ""SBL+Sem(ST)"", 2, ""3"", ""(3)""";IC;;;;;;
"""CB"", ""ST"", 2, ""(1)""";IC;;;;;;
"""CB-KTC-1"", ""SBL"", 2, ""1"", ""(2)""";IC;;;;;;
"""CB-KTC-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";IC;;;;;;
"""KTC-KO-1"", ""SBL+PO(Załęże)"", 2, ""1"", ""(2)""";IC;;;;;;
"""KTC-KO-2"", ""SBL+Sem(ST)"", 2, ""2"", ""(2)""";IC;;;;;;
"""KO"", ""ST"", 4, ""(3)""";IC;16:38;;;Katowice;;
to Katowice;;;;;;;
####;;;;;;;
KS - Os;;;;;;;
33;;;;;;;
S1 ;;;;;;;
from Gliwice;;;;;;;
"""GLC"", ""ST"", 5, ""(2)""";R;;16:18;;Gliwice;;
"""GLC-ZZ-1"", ""SBL"", 2, ""1"", ""(5)""";R;;;;;;
"""GLC-ZZ-2"", ""SBL"", 2, ""2"", ""(5)""";R;;;;;;
"""GLC-ZZ-3"", ""SBL"", 2, ""3"", ""(5)""";R;;;;;;
"""GLC-ZZ-4"", ""SBL"", 2, ""4"", ""(5)""";R;;;;;;
"""GLC-ZZ-5"", ""SBL+Sem(ST)"", 2, ""5"", ""(5)""";R;;;;;;
"""ZZ"", ""ST"", 2, ""(1)""";R;16:26;16:26;;Zabrze;;
"""ZZ-RCB-1"", ""SBL"", 2, ""1"", ""(4)""";R;;;;;;
"""ZZ-RCB-2"", ""SBL"", 2, ""2"", ""(4)""";R;;;;;;
"""ZZ-RCB-3"", ""SBL+PO(Ruda Śląska)"", 2, ""3"", ""(4)""";R;16:31;16:31;;Ruda Slaska;;
"""ZZ-RCB-4"", ""SBL+Sem(ST)"", 2, ""4"", ""(4)""";R;;;;;;
"""RCB"", ""ST"", 2, ""(1)""";R;16:33;16:33;;Ruda Chebzie;;
"""RCB-CB-1"", ""SBL"", 2, ""1"", ""(3)""";R;;;;;;
"""RCB-CB-2"", ""SBL+PO(Świętochłowice)"", 2, ""2"", ""(3)""";R;16:36;16:36;;Swietochlowice;;
"""RCB-CB-3"", ""SBL+Sem(ST)"", 2, ""3"", ""(3)""";R;;;;;;
"""CB"", ""ST"", 2, ""(1)""";R;16:40;16:40;;Chorzów Batory;;
"""CB-KTC-1"", ""SBL"", 2, ""1"", ""(2)""";R;;;;;;
"""CB-KTC-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";R;;;;;;
"""KTC-KO-1"", ""SBL+PO(Załęże)"", 2, ""1"", ""(2)""";R;16:43;16:43;;Katowice Załęże;;
"""KTC-KO-2"", ""SBL+Sem(ST)"", 2, ""2"", ""(2)""";R;;;;;;
"""KO"", ""ST"", 8, ""(4)""";R;16:46;;;Katowice;;
to Katowice;;;;;;;
####;;;;;;;
KS - Os;;;;;;;
35;;;;;;;
S1 ;;;;;;;
from Gliwice;;;;;;;
"""GLC"", ""ST"", 5, ""(2)""";R;;16:23;;Gliwice;;
"""GLC-ZZ-1"", ""SBL"", 2, ""1"", ""(5)""";R;;;;;;
"""GLC-ZZ-2"", ""SBL"", 2, ""2"", ""(5)""";R;;;;;;
"""GLC-ZZ-3"", ""SBL"", 2, ""3"", ""(5)""";R;;;;;;
"""GLC-ZZ-4"", ""SBL"", 2, ""4"", ""(5)""";R;;;;;;
"""GLC-ZZ-5"", ""SBL+Sem(ST)"", 2, ""5"", ""(5)""";R;;;;;;
"""ZZ"", ""ST"", 2, ""(1)""";R;16:31;16:31;;Zabrze;;
"""ZZ-RCB-1"", ""SBL"", 2, ""1"", ""(4)""";R;;;;;;
"""ZZ-RCB-2"", ""SBL"", 2, ""2"", ""(4)""";R;;;;;;
"""ZZ-RCB-3"", ""SBL+PO(Ruda Śląska)"", 2, ""3"", ""(4)""";R;16:36;16:36;;Ruda Slaska;;
"""ZZ-RCB-4"", ""SBL+Sem(ST)"", 2, ""4"", ""(4)""";R;;;;;;
"""RCB"", ""ST"", 2, ""(1)""";R;16:38;16:38;;Ruda Chebzie;;
"""RCB-CB-1"", ""SBL"", 2, ""1"", ""(3)""";R;;;;;;
"""RCB-CB-2"", ""SBL+PO(Świętochłowice)"", 2, ""2"", ""(3)""";R;16:41;16:41;;Swietochlowice;;
"""RCB-CB-3"", ""SBL+Sem(ST)"", 2, ""3"", ""(3)""";R;;;;;;
"""CB"", ""ST"", 2, ""(1)""";R;16:45;16:45;;Chorzów Batory;;
"""CB-KTC-1"", ""SBL"", 2, ""1"", ""(2)""";R;;;;;;
"""CB-KTC-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";R;;;;;;
"""KTC-KO-1"", ""SBL+PO(Załęże)"", 2, ""1"", ""(2)""";R;16:48;16:48;;Katowice Załęże;;
"""KTC-KO-2"", ""SBL+Sem(ST)"", 2, ""2"", ""(2)""";R;;;;;;
"""KO"", ""ST"", 8, ""(4)""";R;16:51;;;Katowice;;
to Katowice;;;;;;;
####;;;;;;;
KS - Os;;;;;;;
113;;;;;;;
S8;;;;;;;
from Bytom;;;;;;;
"""CM-CB"", ""SBL+Sem(ST)"", 2, ""1"", ""(1)""";R;;;;;;
"""CB"", ""ST"", 4, ""(2)""";R;16:50;16:51;;Chorzów Batory;;
"""CB-KTC-1"", ""SBL"", 2, ""1"", ""(2)""";R;;;;;;
"""CB-KTC-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";R;;;;;;
"""KTC-KO-1"", ""SBL+PO(Załęże)"", 2, ""1"", ""(2)""";R;16:54;16:54;;Katowice Załęże;;
"""KTC-KO-2"", ""SBL+Sem(ST)"", 2, ""2"", ""(2)""";R;;;;;;
"""KO"", ""ST"", 10, ""(4)""";R;16:58;;;Katowice;;
to Katowice;;;;;;;
####;;;;;;;
KS - Os;;;;;;;
37;;;;;;;
S1 ;;;;;;;
from Gliwice;;;;;;;
"""GLC"", ""ST"", 5, ""(2)""";R;;16:33;;Gliwice;;
"""GLC-ZZ-1"", ""SBL"", 2, ""1"", ""(5)""";R;;;;;;
"""GLC-ZZ-2"", ""SBL"", 2, ""2"", ""(5)""";R;;;;;;
"""GLC-ZZ-3"", ""SBL"", 2, ""3"", ""(5)""";R;;;;;;
"""GLC-ZZ-4"", ""SBL"", 2, ""4"", ""(5)""";R;;;;;;
"""GLC-ZZ-5"", ""SBL+Sem(ST)"", 2, ""5"", ""(5)""";R;;;;;;
"""ZZ"", ""ST"", 2, ""(1)""";R;16:41;16:41;;Zabrze;;
"""ZZ-RCB-1"", ""SBL"", 2, ""1"", ""(4)""";R;;;;;;
"""ZZ-RCB-2"", ""SBL"", 2, ""2"", ""(4)""";R;;;;;;
"""ZZ-RCB-3"", ""SBL+PO(Ruda Śląska)"", 2, ""3"", ""(4)""";R;16:46;16:46;;Ruda Slaska;;
"""ZZ-RCB-4"", ""SBL+Sem(ST)"", 2, ""4"", ""(4)""";R;;;;;;
"""RCB"", ""ST"", 2, ""(1)""";R;16:48;16:48;;Ruda Chebzie;;
"""RCB-CB-1"", ""SBL"", 2, ""1"", ""(3)""";R;;;;;;
"""RCB-CB-2"", ""SBL+PO(Świętochłowice)"", 2, ""2"", ""(3)""";R;16:51;16:51;;Swietochlowice;;
"""RCB-CB-3"", ""SBL+Sem(ST)"", 2, ""3"", ""(3)""";R;;;;;;
"""CB"", ""ST"", 2, ""(1)""";R;16:55;16:55;;Chorzów Batory;;
"""CB-KTC-1"", ""SBL"", 2, ""1"", ""(2)""";R;;;;;;
"""CB-KTC-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";R;;;;;;
"""KTC-KO-1"", ""SBL+PO(Załęże)"", 2, ""1"", ""(2)""";R;16:58;16:58;;Katowice Załęże;;
"""KTC-KO-2"", ""SBL+Sem(ST)"", 2, ""2"", ""(2)""";R;;;;;;
"""KO"", ""ST"", 8, ""(4)""";R;17:01;;;Katowice;;
to Katowice;;;;;;;
####;;;;;;;
IC - IC;;;;;;;
6413;;;;;;;
Intercity;;;;;;;
from Wrocław;;;;;;;
"""Szo-GLC"", ""SBL(odstep)"", 2, ""1"", ""(1)""";IC;;;;;;
"""GLC"", ""ST"", 4, ""(1)""";IC;16:38;16:44;;Gliwice;;
"""GLC-ZZ-1"", ""SBL"", 2, ""1"", ""(5)""";IC;;;;;;
"""GLC-ZZ-2"", ""SBL"", 2, ""2"", ""(5)""";IC;;;;;;
"""GLC-ZZ-3"", ""SBL"", 2, ""3"", ""(5)""";IC;;;;;;
"""GLC-ZZ-4"", ""SBL"", 2, ""4"", ""(5)""";IC;;;;;;
"""GLC-ZZ-5"", ""SBL+Sem(ST)"", 2, ""5"", ""(5)""";IC;;;;;;
"""ZZ"", ""ST"", 2, ""(1)""";IC;16:52;16:52;;Zabrze;;
"""ZZ-RCB-1"", ""SBL"", 2, ""1"", ""(4)""";IC;;;;;;
"""ZZ-RCB-2"", ""SBL"", 2, ""2"", ""(4)""";IC;;;;;;
"""ZZ-RCB-3"", ""SBL+PO(Ruda Śląska)"", 2, ""3"", ""(4)""";IC;;;;;;
"""ZZ-RCB-4"", ""SBL+Sem(ST)"", 2, ""4"", ""(4)""";IC;;;;;;
"""RCB"", ""ST"", 2, ""(1)""";IC;;;;;;
"""RCB-CB-1"", ""SBL"", 2, ""1"", ""(3)""";IC;;;;;;
"""RCB-CB-2"", ""SBL+PO(Świętochłowice)"", 2, ""2"", ""(3)""";IC;;;;;;
"""RCB-CB-3"", ""SBL+Sem(ST)"", 2, ""3"", ""(3)""";IC;;;;;;
"""CB"", ""ST"", 2, ""(1)""";IC;;;;;;
"""CB-KTC-1"", ""SBL"", 2, ""1"", ""(2)""";IC;;;;;;
"""CB-KTC-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";IC;;;;;;
"""KTC-KO-1"", ""SBL+PO(Załęże)"", 2, ""1"", ""(2)""";IC;;;;;;
"""KTC-KO-2"", ""SBL+Sem(ST)"", 2, ""2"", ""(2)""";IC;;;;;;
"""KO"", ""ST"", 4, ""(3)""";IC;17:08;;;Katowice;;
to Katowice;;;;;;;
####;;;;;;;
KS - Os;;;;;;;
41;;;;;;;
S1 ;;;;;;;
from Gliwice;;;;;;;
"""GLC"", ""ST"", 5, ""(2)""";R;;16:48;;Gliwice;;
"""GLC-ZZ-1"", ""SBL"", 2, ""1"", ""(5)""";R;;;;;;
"""GLC-ZZ-2"", ""SBL"", 2, ""2"", ""(5)""";R;;;;;;
"""GLC-ZZ-3"", ""SBL"", 2, ""3"", ""(5)""";R;;;;;;
